state,county,diff
Florida,Wakulla ,1854
Kentucky,Johnson ,1856
Ohio,Gallia ,1861
Kansas,Finney ,1869
Kentucky,Jackson ,1869
Kentucky,Mercer ,1871
Ohio,Muskingum ,1872
Idaho,Fremont ,1875
Nebraska,Adams ,1876
Georgia,Toombs ,1880
Texas,Aransas ,1882
Arkansas,Polk ,1882
Florida,Taylor ,1882
Kansas,Dickinson ,1884
Idaho,Payette ,1891
Indiana,Clark ,1893
Virginia,Smyth ,1893
Indiana,Franklin ,1895
Florida,Gilchrist ,1896
Texas,Lampasas ,1900
Indiana,Ripley ,1903
Ohio,Clark ,1903
Colorado,Teller ,1905
North Carolina,Macon ,1907
Texas,Upshur ,1909
Utah,Duchesne ,1916
North Carolina,Pender ,1916
Kansas,Miami ,1917
Indiana,Daviess ,1922
Virginia,James City ,1922
Alabama,Lamar ,1923
Idaho,Franklin ,1929
Indiana,Bartholomew ,1932
Idaho,Bonner ,1933
Virginia,Stafford ,1952
Georgia,Monroe ,1953
Mississippi,Forrest ,1970
Georgia,Lowndes ,1973
Minnesota,McLeod ,1975
Pennsylvania,Clarion ,1976
Texas,Eastland ,1980
West Virginia,Cabell ,1980
Mississippi,Smith ,1981
Alabama,Fayette ,1983
Oklahoma,Muskogee ,1995
Indiana,Warrick ,1996
California,Tuolumne ,2000
Indiana,Floyd ,2000
West Virginia,Mineral ,2003
Alabama,Bibb ,2012
Missouri,Texas ,2014
Georgia,Brantley ,2017
Texas,Hockley ,2020
Texas,Bosque ,2025
Indiana,Lawrence ,2048
South Dakota,Meade ,2053
Georgia,Camden ,2053
Virginia,Wise ,2053
Ohio,Champaign ,2054
North Carolina,Beaufort ,2055
Georgia,Coffee ,2058
Texas,Shelby ,2060
Pennsylvania,Crawford ,2062
Kentucky,Clark ,2065
Alabama,Cleburne ,2068
Oklahoma,Beckham ,2072
Tennessee,McNairy ,2079
Missouri,Callaway ,2080
Kansas,Leavenworth ,2081
Kentucky,Marshall ,2081
California,Lassen ,2086
Georgia,Banks ,2091
Virginia,Spotsylvania ,2097
Texas,Leon ,2100
Tennessee,Franklin ,2102
Ohio,Morrow ,2103
Louisiana,St. Mary ,2105
Georgia,Franklin ,2114
New York,Allegany ,2115
Alabama,Randolph ,2118
Ohio,Van Wert ,2124
Virginia,Wythe ,2124
Indiana,Wells ,2125
Kentucky,Russell ,2127
Idaho,Idaho County ,2128
Kentucky,Clay ,2130
Tennessee,Claiborne ,2131
Louisiana,Evangeline ,2135
Alabama,Escambia ,2140
Georgia,Pierce ,2140
Louisiana,Avoyelles ,2140
Ohio,Madison ,2143
Nevada,Lyon ,2146
Alabama,Lawrence ,2150
Illinois,Iroquois ,2152
Kentucky,Scott ,2153
Virginia,Carroll ,2165
Kansas,Ellis ,2169
Missouri,Pettis ,2171
Georgia,Ware ,2174
Oklahoma,Kingfisher ,2181
Washington,Chelan ,2186
Wisconsin,Dodge ,2188
Georgia,Laurens ,2196
Virginia,Scott ,2198
Oklahoma,Texas ,2204
Missouri,Miller ,2213
Oregon,Malheur ,2214
Texas,Walker ,2217
Pennsylvania,Venango ,2220
Tennessee,Hardin ,2223
Oklahoma,Jackson ,2226
Mississippi,Tippah ,2229
Mississippi,Tishomingo ,2229
North Carolina,Wayne ,2230
Kentucky,Graves ,2234
Texas,La Vaca ,2235
Oklahoma,Mayes ,2241
Missouri,Pulaski ,2248
Maryland,Worcester ,2249
Tennessee,Weakley ,2249
Texas,Hale ,2250
Tennessee,Dickson ,2252
Washington,Franklin ,2254
Arkansas,Greene ,2264
Kentucky,Taylor ,2265
Texas,Wharton ,2265
New Mexico,Otero ,2269
New York,Putnam ,2278
Nevada,Douglas ,2279
Ohio,Crawford ,2280
Kansas,Pottawatomie ,2282
Texas,Howard ,2294
Missouri,Polk ,2295
Ohio,Lawrence ,2300
Indiana,Huntington ,2312
South Carolina,Lancaster ,2317
Texas,Fayette ,2322
Arizona,Navajo ,2322
Missouri,Phelps ,2324
New Jersey,Cape May ,2326
Ohio,Columbiana ,2328
Oklahoma,Osage ,2328
Louisiana,Union ,2330
Mississippi,Neshoba ,2340
Oklahoma,Garvin ,2340
West Virginia,Harrison ,2345
Texas,Young ,2346
Pennsylvania,Clearfield ,2351
New York,Wyoming ,2357
Pennsylvania,Snyder ,2358
Texas,Fannin ,2363
California,Tehama ,2364
Alabama,Franklin ,2366
Georgia,Bulloch ,2366
Texas,Montague ,2367
Kentucky,Harlan ,2371
New York,Wayne ,2371
Georgia,Tift ,2377
Ohio,Holmes ,2381
Texas,Bandera ,2384
Tennessee,Obion ,2388
Pennsylvania,Tioga ,2389
Tennessee,Henderson ,2396
Arkansas,Union ,2396
Kentucky,Shelby ,2399
Florida,Bradford ,2407
Arkansas,Independence ,2410
Louisiana,LaSalle ,2416
Georgia,Wayne ,2419
Texas,Palo Pinto ,2421
Kansas,McPherson ,2422
Texas,Cass ,2429
Minnesota,Otter Tail ,2434
Oklahoma,Bryan ,2436
Wyoming,Lincoln ,2439
New York,Genesee ,2442
Kentucky,Christian ,2444
Kansas,Barton ,2446
Virginia,Fauquier ,2449
Mississippi,Prentiss ,2452
South Carolina,Greenwood ,2454
North Carolina,Cherokee ,2471
Georgia,Spalding ,2475
Oklahoma,McCurtain ,2476
Illinois,Williamson ,2488
Missouri,Webster ,2492
Ohio,Brown ,2497
Utah,Sanpete ,2501
Oklahoma,Sequoyah ,2505
Pennsylvania,Northumberland ,2513
Arizona,Graham ,2513
Texas,Panola ,2517
North Carolina,McDowell ,2518
Wyoming,Sweetwater ,2519
Georgia,Pike ,2522
Louisiana,Webster ,2525
Oklahoma,Woodward ,2527
Texas,Coryell ,2528
Kentucky,Daviess ,2529
Georgia,Stephens ,2542
Illinois,Tazewell ,2544
Ohio,Washington ,2545
Tennessee,Montgomery ,2546
New Mexico,Curry ,2549
Alabama,Cherokee ,2554
Texas,Llano ,2554
Georgia,Troup ,2559
South Carolina,Laurens ,2559
Pennsylvania,Bradford ,2564
Idaho,Cassia ,2565
Kentucky,Hopkins ,2570
Utah,Sevier ,2574
Georgia,Colquitt ,2575
Louisiana,Sabine ,2581
Nebraska,Scotts Bluff ,2581
Colorado,Delta ,2590
Oklahoma,Custer ,2591
Oklahoma,Delaware ,2595
Kansas,Montgomery ,2597
Oklahoma,Pontotoc ,2619
Kentucky,Knox ,2620
Texas,Nueces ,2621
Ohio,Pickaway ,2625
Montana,Ravalli ,2632
Tennessee,Rhea ,2642
West Virginia,Berkeley ,2644
Wisconsin,Fond du Lac ,2649
Florida,Levy ,2652
Maryland,Garrett ,2655
Utah,Tooele ,2656
Georgia,Murray ,2658
Alabama,Colbert ,2663
North Dakota,Ward ,2663
Arkansas,Miller ,2664
Virginia,Shenandoah ,2671
Georgia,Fannin ,2674
Ohio,Highland ,2679
Texas,Medina ,2681
Virginia,Gloucester ,2681
Texas,Matagorda ,2684
Pennsylvania,Huntingdon ,2689
Missouri,Barry ,2692
Mississippi,Lincoln ,2696
Georgia,Madison ,2697
Florida,Washington ,2698
Pennsylvania,Jefferson ,2700
Texas,Jasper ,2704
Louisiana,St. Martin ,2707
New Mexico,Eddy ,2710
Tennessee,Cheatham ,2714
Nebraska,Hall ,2715
Arkansas,Cleburne ,2718
Wyoming,Fremont ,2724
Tennessee,Bedford ,2726
Tennessee,Fayette ,2729
Missouri,Stoddard ,2732
Illinois,Woodford ,2737
Mississippi,Itawamba ,2750
Texas,Navarro ,2754
Missouri,Scott ,2755
South Carolina,Kershaw ,2757
Idaho,Bannock ,2760
Texas,Hill ,2761
Colorado,Elbert ,2764
Missouri,Howell ,2776
Georgia,Bryan ,2782
California,Kings ,2794
Pennsylvania,Washington ,2797
Louisiana,Grant ,2804
Tennessee,Dyer ,2813
Texas,Wilson ,2815
Georgia,Union ,2823
Louisiana,Jeff Davis ,2827
Nebraska,Madison ,2834
Florida,Holmes ,2845
Mississippi,Union ,2848
Tennessee,Lawrence ,2849
Texas,Fort Bend ,2860
New Mexico,Chaves ,2866
Tennessee,Lincoln ,2868
Pennsylvania,Mifflin ,2868
Mississippi,George ,2874
Nebraska,Platte ,2876
Tennessee,Cocke ,2899
Texas,Gray ,2908
Virginia,Tazewell ,2910
Colorado,Montrose ,2914
Texas,Hopkins ,2922
Missouri,LaClede ,2942
Georgia,Lumpkin ,2945
California,Madera ,2952
Georgia,Gilmer ,2955
Kentucky,Barren ,2969
Virginia,Powhatan ,2980
Wyoming,Sheridan ,2996
Virginia,Botetourt ,2997
Georgia,Polk ,2999
Nebraska,Lincoln ,3000
Oklahoma,Comanche ,3003
North Carolina,Rockingham ,3008
Texas,Austin ,3014
North Carolina,Craven ,3017
Ohio,Knox ,3031
Ohio,Clinton ,3046
West Virginia,Mercer ,3051
Texas,Hutchinson ,3054
Virginia,Franklin ,3060
West Virginia,Putnam ,3078
Arizona,Gila ,3093
Colorado,Fremont ,3098
Washington,Lewis ,3112
Texas,Washington ,3115
Maryland,St. Mary's ,3117
Ohio,Logan ,3119
Florida,Jackson ,3119
Mississippi,Alcorn ,3137
Kansas,Saline ,3139
Oklahoma,Pittsburg ,3142
Oregon,Umatilla ,3150
Illinois,Effingham ,3153
South Carolina,Cherokee ,3160
Missouri,Stone ,3161
North Carolina,Alamance ,3172
Montana,Yellowstone ,3181
Louisiana,Washington ,3190
Georgia,White ,3199
Florida,Baker ,3202
Arizona,Yuma ,3209
Virginia,York ,3219
Missouri,Lawrence ,3220
Tennessee,Gibson ,3220
Ohio,Ashland ,3226
Oklahoma,LeFlore ,3233
Pennsylvania,Schuylkill ,3240
Alabama,Winston ,3246
Mississippi,Lauderdale ,3258
Tennessee,Coffee ,3259
Georgia,Harris ,3267
Louisiana,St. Bernard ,3279
Georgia,Haralson ,3293
Missouri,Camden ,3293
Arkansas,Boone ,3296
Alabama,Talladega ,3302
Kansas,Reno ,3311
Tennessee,Monroe ,3334
Florida,Putnam ,3340
Georgia,Dawson ,3351
Missouri,Butler ,3353
Maryland,Queen Anne's ,3357
Kentucky,Whitley ,3367
North Carolina,Alexander ,3390
Missouri,Franklin ,3391
Florida,Hernando ,3408
Oregon,Josephine ,3409
Oklahoma,Logan ,3419
Mississippi,Pontotoc ,3432
Georgia,Lee ,3439
Texas,Chambers ,3440
Arkansas,Baxter ,3448
Ohio,Preble ,3463
Kentucky,Bell ,3464
Nevada,Elko ,3465
Pennsylvania,Perry ,3469
Utah,Uintah ,3473
Mississippi,Madison ,3481
Oklahoma,Lincoln ,3482
Maryland,Cecil ,3488
North Carolina,Harnett ,3503
Texas,Nacogdoches ,3507
Michigan,Allegan ,3512
Texas,Gillespie ,3545
Florida,Charlotte ,3547
Ohio,Union ,3553
Alabama,Marion ,3559
Minnesota,Stearns ,3562
Indiana,Boone ,3564
Oregon,Linn ,3567
Idaho,Jefferson ,3579
Alabama,Tallapoosa ,3581
Georgia,Henry ,3583
Texas,Cherokee ,3586
Illinois,Adams ,3604
Florida,Seminole ,3617
New York,Steuben ,3640
Florida,Suwannee ,3649
Alabama,Geneva ,3653
Texas,Anderson ,3673
Indiana,Allen ,3683
Pennsylvania,Armstrong ,3688
Wyoming,Park ,3693
Florida,Duval ,3700
Nebraska,Buffalo ,3703
North Carolina,Burke ,3707
Georgia,Oconee ,3735
Virginia,Pittsylvania ,3790
Georgia,Pickens ,3793
Texas,Burnet ,3813
Virginia,Frederick ,3815
Oklahoma,McClain ,3817
Oklahoma,Carter ,3819
Tennessee,Maury ,3823
Minnesota,Anoka ,3832
Texas,Polk ,3833
New Jersey,Warren ,3844
Tennessee,McMinn ,3852
West Virginia,Raleigh ,3855
Texas,Erath ,3866
Kentucky,Jessamine ,3870
Kentucky,Madison ,3876
Oklahoma,Kay ,3883
North Carolina,Stokes ,3887
Oklahoma,Payne ,3917
Texas,Lamar ,3918
Tennessee,Putnam ,3919
North Carolina,Davie ,3946
Louisiana,Beauregard ,3966
Georgia,Glynn ,3981
Indiana,Dearborn ,3985
North Carolina,Yadkin ,3996
Ohio,Putnam ,4004
Alabama,Jackson ,4019
Washington,Grant ,4028
Ohio,Medina ,4030
South Carolina,Beaufort ,4032
Washington,Spokane ,4039
Indiana,Morgan ,4054
Tennessee,Jefferson ,4088
Louisiana,Iberia ,4090
Kentucky,McCracken ,4092
Maryland,Allegany ,4095
Minnesota,Carver ,4131
Missouri,Taney ,4141
Idaho,Bingham ,4153
Virginia,Washington ,4162
Texas,Harrison ,4175
Louisiana,St. Charles ,4177
Ohio,Geauga ,4178
Arkansas,Craighead ,4186
North Carolina,Surry ,4197
New Mexico,Lea ,4203
Florida,Highlands ,4204
Delaware,Sussex ,4236
Minnesota,Scott ,4266
Ohio,Shelby ,4311
New York,Staten Island ,4323
Ohio,Wayne ,4324
Mississippi,Hancock ,4334
Indiana,Elkhart ,4336
Kentucky,Hardin ,4345
Louisiana,Vernon ,4350
Tennessee,Anderson ,4363
Texas,Rusk ,4367
South Carolina,Dorchester ,4380
Alabama,Dale ,4382
Kentucky,Warren ,4394
Tennessee,Roane ,4407
Maryland,Washington ,4426
North Carolina,Cleveland ,4449
Texas,Cooke ,4461
Minnesota,Sherburne ,4468
Tennessee,Robertson ,4489
California,El Dorado ,4492
Georgia,Habersham ,4496
Tennessee,Hamblen ,4525
Georgia,Gordon ,4526
Kentucky,Campbell ,4527
Pennsylvania,Somerset ,4538
Maryland,Anne Arundel ,4545
Pennsylvania,Adams ,4582
Tennessee,Hawkins ,4587
Ohio,Hancock ,4605
North Carolina,Rutherford ,4616
South Carolina,Berkeley ,4630
Alabama,Covington ,4640
Wyoming,Laramie ,4643
Kentucky,Oldham ,4657
Utah,Iron ,4661
Texas,Brown ,4675
Kansas,Butler ,4680
Ohio,Mercer ,4700
Ohio,Richland ,4706
Texas,Bell ,4709
Tennessee,Tipton ,4711
Texas,Kendall ,4738
Texas,Liberty ,4796
Virginia,Campbell ,4801
Oklahoma,Grady ,4835
Washington,Yakima ,4835
North Carolina,Brunswick ,4857
Texas,Wood ,4866
Florida,Columbia ,4892
Ohio,Auglaize ,4897
Idaho,Madison ,4898
Oklahoma,Pottawatomie ,4911
Oklahoma,Stephens ,4926
North Carolina,Moore ,4949
Tennessee,Cumberland ,4967
Alabama,Coffee ,4977
Wyoming,Natrona ,4988
Florida,Pasco ,5014
Arkansas,Pope ,5029
Tennessee,Loudon ,5034
Arkansas,Crawford ,5043
Oklahoma,Washington ,5074
Pennsylvania,Bedford ,5092
Texas,Victoria ,5107
Kentucky,Bullitt ,5122
Wyoming,Campbell ,5126
Ohio,Darke ,5131
Oregon,Klamath ,5133
Ohio,Allen ,5149
New Jersey,Hunterdon ,5151
Arkansas,Washington ,5172
Texas,Angelina ,5190
New Mexico,San Juan ,5190
Alabama,Chilton ,5197
Arizona,Cochise ,5209
Georgia,Effingham ,5213
Tennessee,Greene ,5225
Indiana,Hancock ,5232
Missouri,Cass ,5245
Missouri,Newton ,5252
Iowa,Sioux ,5278
North Carolina,Stanly ,5282
North Dakota,Burleigh ,5290
Tennessee,Carter ,5296
Oregon,Douglas ,5304
South Dakota,Pennington ,5340
North Carolina,Caldwell ,5359
West Virginia,Wood ,5369
Missouri,Cole ,5415
Mississippi,Lee ,5438
Mississippi,Jones ,5443
North Carolina,Onslow ,5463
Arkansas,Garland ,5469
Pennsylvania,Lebanon ,5474
Utah,Salt Lake ,5486
Idaho,Twin Falls ,5551
Florida,Indian River ,5553
North Carolina,Henderson ,5611
Georgia,Barrow ,5624
Virginia,Roanoke ,5633
Florida,Martin ,5639
Colorado,Weld ,5648
Georgia,Walker ,5651
Georgia,Whitfield ,5658
Texas,Kerr ,5660
Alabama,Lauderdale ,5662
Montana,Flathead ,5677
Texas,Van Zandt ,5683
Alabama,Lee ,5703
Alabama,Autauga ,5714
Florida,Manatee ,5718
Oklahoma,Garfield ,5760
North Carolina,Wilkes ,5774
Indiana,Kosciusko ,5820
Texas,Wise ,5821
Arkansas,Lonoke ,5836
Georgia,Houston ,5842
Ohio,Licking ,5854
Nebraska,Sarpy ,5856
Utah,Box Elder ,5872
Oklahoma,Creek ,5931
North Carolina,Carteret ,5993
Texas,Potter ,6029
Arkansas,Faulkner ,6036
Wisconsin,Ozaukee ,6051
North Carolina,Lincoln ,6079
South Carolina,Oconee ,6084
Ohio,Miami ,6093
Texas,Hunt ,6118
Louisiana,Vermilion ,6153
Texas,Hood ,6181
Virginia,Rockingham ,6181
Georgia,Catoosa ,6209
Pennsylvania,Lycoming ,6227
Mississippi,Lamar ,6259
Pennsylvania,Blair ,6280
Alabama,DeKalb ,6288
Oklahoma,Wagoner ,6310
Mississippi,Pearl River ,6326
Louisiana,Acadia ,6327
Florida,Walton ,6339
Minnesota,Wright ,6343
Texas,Kaufman ,6389
Kentucky,Kenton ,6390
Texas,Hardin ,6404
Georgia,Floyd ,6407
Missouri,Cape Girardeau ,6469
Ohio,Greene ,6470
Georgia,Jackson ,6520
Texas,Henderson ,6557
Alabama,Tuscaloosa ,6566
Kentucky,Laurel ,6595
Virginia,Chesterfield ,6606
Florida,Citrus ,6615
California,Tulare ,6642
Ohio,Fairfield ,6653
Arkansas,White ,6737
Texas,Bowie ,6754
Florida,Sumter ,6781
Virginia,Augusta ,6820
Alabama,Walker ,6835
Virginia,Bedford ,6881
Missouri,Christian ,6966
Texas,Orange ,7044
Alabama,Limestone ,7203
North Carolina,Rowan ,7244
Kentucky,Pulaski ,7292
North Carolina,Cabarrus ,7313
Idaho,Ada ,7342
Georgia,Carroll ,7378
Michigan,Livingston ,7463
Texas,Rockwall ,7505
Texas,Guadalupe ,7520
New Jersey,Monmouth ,7727
Indiana,Johnson ,7748
Pennsylvania,Cumberland ,7764
Arkansas,Sebastian ,7854
Louisiana,Tangipahoa ,7862
Indiana,Hendricks ,7904
Arizona,Pinal ,7991
Texas,Gregg ,8105
Mississippi,Harrison ,8133
Texas,Tom Green ,8202
New Jersey,Sussex ,8215
Alabama,Calhoun ,8247
Missouri,Jasper ,8272
Georgia,Bartow ,8362
Tennessee,Sevier ,8369
Alabama,Mobile ,8457
Oklahoma,Rogers ,8481
Tennessee,Washington ,8511
Florida,Nassau ,8516
North Carolina,Johnston ,8539
Alabama,Blount ,8568
Florida,Polk ,8595
Alabama,Houston ,8612
Louisiana,Rapides ,8639
Louisiana,Ascension ,8655
Texas,Ector ,8656
Louisiana,Terrebonne ,8766
South Carolina,Aiken ,8769
Texas,Brazos ,8769
Texas,Grayson ,8786
Alabama,Elmore ,8809
Alabama,Etowah ,8809
Louisiana,Ouachita ,8814
South Carolina,York ,8832
Idaho,Kootenai ,8845
North Carolina,Catawba ,8897
Mississippi,Jackson ,8954
Washington,Benton ,8982
Texas,Wichita ,9086
Kentucky,Boone ,9095
California,Placer ,9107
North Carolina,Iredell ,9111
California,Shasta ,9284
Louisiana,Lafourche ,9284
Georgia,Fayette ,9329
Ohio,Delaware ,9388
Idaho,Bonneville ,9430
Tennessee,Wilson ,9482
Alabama,Marshall ,9492
Tennessee,Hamilton ,9516
Georgia,Walton ,9530
Arkansas,Saline ,9581
Virginia,Hanover ,9633
Tennessee,Bradley ,9736
Texas,McLennan ,9768
Utah,Cache ,9904
Missouri,St. Charles ,10083
Florida,Marion ,10176
Louisiana,Bossier ,10212
Tennessee,Rutherford ,10410
Utah,Weber ,10470
Florida,Lake ,10485
Texas,Galveston ,10518
Tennessee,Blount ,10561
Pennsylvania,Franklin ,10609
Colorado,Mesa ,10612
North Carolina,Gaston ,10721
Louisiana,Calcasieu ,10819
South Carolina,Pickens ,10824
Alabama,St. Clair ,10919
Texas,Taylor ,10984
Georgia,Coweta ,11230
Arizona,Mohave ,11245
Georgia,Paulding ,11249
Texas,Williamson ,11263
Alabama,Morgan ,11298
Colorado,Douglas ,11375
Wisconsin,Washington ,11412
Texas,Ellis ,11538
Texas,Comal ,11615
Missouri,Greene ,11641
North Carolina,Union ,11686
Pennsylvania,Butler ,11705
Alabama,Cullman ,11724
North Carolina,Davidson ,11739
New Jersey,Morris ,11797
Georgia,Columbia ,11958
Idaho,Canyon ,11976
Texas,Johnson ,12067
South Carolina,Spartanburg ,12069
Tennessee,Sumner ,12126
Alabama,Madison ,12149
Arizona,Yavapai ,12349
Mississippi,DeSoto ,12353
North Carolina,Randolph ,12428
Oklahoma,Canadian ,12494
Oklahoma,Cleveland ,12528
Maryland,Harford ,12580
South Carolina,Anderson ,12772
Utah,Washington ,12789
Texas,Parker ,13298
Texas,Midland ,13385
South Carolina,Horry ,13463
Tennessee,Sullivan ,13645
Pennsylvania,York ,13847
Maryland,Carroll ,13876
Kansas,Sedgwick ,14185
Arkansas,Benton ,14540
Pennsylvania,Lancaster ,14563
Kansas,Johnson ,14638
Pennsylvania,Westmoreland ,14775
Indiana,Hamilton ,14786
Florida,Lee ,14845
Georgia,Hall ,15504
Florida,Escambia ,15565
Louisiana,Lafayette ,15675
Florida,Collier ,15684
Ohio,Clermont ,15707
Texas,Brazoria ,15854
Texas,Smith ,15888
Georgia,Gwinnett ,16033
Florida,Brevard ,16323
Georgia,Cobb ,16353
Texas,Randall ,16385
Florida,Bay ,16889
Mississippi,Rankin ,16999
Florida,St. Johns ,17023
Michigan,Ottawa ,17516
Texas,Lubbock ,18186
Florida,Santa Rosa ,18596
Louisiana,Livingston ,18757
Tennessee,Williamson ,18931
Ohio,Warren ,19232
California,Kern ,19233
South Carolina,Lexington ,19892
Florida,Clay ,20443
Ohio,Butler ,20484
Alabama,Baldwin ,21235
Florida,Okaloosa ,21707
Georgia,Forsyth ,22232
Tennessee,Knox ,22355
Oklahoma,Oklahoma ,23483
Utah,Davis ,23684
South Carolina,Greenville ,24295
Georgia,Cherokee ,24477
Alabama,Shelby ,24570
Louisiana,Jefferson ,25492
California,Orange ,26166
New Jersey,Ocean ,26824
Colorado,El Paso ,27533
Louisiana,St. Tammany ,30162
Texas,Denton ,30227
Alaska,Alaska ,30542
Wisconsin,Waukesha ,30947
Oklahoma,Tulsa ,31107
Texas,Tarrant ,38973
Texas,Collin ,39034
Texas,Montgomery ,41980
Utah,Utah ,45020
Arizona,Maricopa ,73364
